frame_idx,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50,y51,y52,y53,y54,y55,y56,y57,y58,y59,y60,y61,y62,y63,y64,y65,y66,y67
0,1082.394775390625,1129.403564453125,1182.19482421875,1233.3294677734375,1301.7825927734375,1406.053466796875,1538.2259521484375,1681.0927734375,1806.6339111328125,1905.810791015625,1990.337646484375,2057.383544921875,2101.102294921875,2117.552490234375,2130.244140625,2139.978515625,2132.632080078125,1216.6151123046875,1281.80810546875,1384.060302734375,1494.54638671875,1599.69482421875,1765.0382080078125,1838.904052734375,1926.6746826171875,2017.1400146484375,2077.38134765625,1706.2879638671875,1728.0242919921875,1750.48095703125,1774.6767578125,1662.538330078125,1715.974853515625,1766.346923828125,1809.2900390625,1848.6669921875,1358.0498046875,1419.8988037109375,1489.7620849609375,1555.7896728515625,1497.148193359375,1425.7188720703125,1828.5804443359375,1884.7139892578125,1944.5771484375,1996.0748291015625,1953.168212890625,1893.845703125,1584.2095947265625,1656.4857177734375,1733.83984375,1778.049072265625,1819.307861328125,1875.715087890625,1924.7525634765625,1883.9644775390625,1839.575439453125,1793.9727783203125,1747.4908447265625,1668.4814453125,1616.383544921875,1738.2757568359375,1783.3017578125,1827.2955322265625,1891.593994140625,1827.8438720703125,1784.9390869140625,1739.0103759765625,724.6004638671875,893.6751708984375,1049.0675048828125,1195.3101806640625,1326.0555419921875,1425.6220703125,1484.4716796875,1514.7108154296875,1502.1302490234375,1462.98828125,1379.65087890625,1278.6190185546875,1146.21826171875,1010.82861328125,870.2734375,725.8289184570312,569.9653930664062,627.0185546875,532.1669311523438,488.5987548828125,485.7911376953125,517.7943725585938,484.04364013671875,433.22515869140625,398.02569580078125,406.93377685546875,477.6294250488281,594.4205322265625,686.784912109375,777.9984741210938,874.1350708007812,984.2473754882812,985.0447387695312,986.9906616210938,966.3541870117188,942.6390991210938,699.2240600585938,652.5814819335938,638.9172973632812,677.1878051757812,700.3447875976562,712.8353271484375,635.270263671875,585.7445068359375,574.2529296875,604.6939086914062,630.5929565429688,638.7479248046875,1221.5078125,1136.276611328125,1086.78369140625,1094.276123046875,1070.0797119140625,1094.197021484375,1150.681884765625,1204.790771484375,1235.2388916015625,1248.58642578125,1257.8302001953125,1250.917236328125,1210.05908203125,1153.24462890625,1148.279541015625,1133.757080078125,1153.0660400390625,1148.589111328125,1162.8929443359375,1170.427978515625
1,1084.98974609375,1132.579345703125,1185.9395751953125,1235.210205078125,1301.3564453125,1403.2828369140625,1534.6201171875,1676.8206787109375,1802.6971435546875,1902.7529296875,1988.46337890625,2055.52392578125,2098.55126953125,2114.8486328125,2127.005126953125,2136.38134765625,2128.725830078125,1216.74169921875,1281.19384765625,1383.9046630859375,1495.2264404296875,1600.367919921875,1762.3768310546875,1837.655029296875,1925.9874267578125,2017.26220703125,2077.713134765625,1704.68310546875,1726.2373046875,1748.5328369140625,1772.495361328125,1662.345947265625,1715.70947265625,1765.782958984375,1807.80859375,1846.594482421875,1357.294189453125,1419.614990234375,1489.6568603515625,1556.000732421875,1497.200439453125,1425.363525390625,1827.069580078125,1883.5247802734375,1943.687744140625,1995.5155029296875,1952.6181640625,1892.5806884765625,1583.254638671875,1654.89599609375,1732.111572265625,1776.18798828125,1817.2254638671875,1873.726806640625,1922.083251953125,1882.195068359375,1837.781005859375,1792.5018310546875,1745.9871826171875,1666.7757568359375,1615.194091796875,1736.37939453125,1781.30224609375,1825.1998291015625,1888.81982421875,1826.301025390625,1783.431884765625,1737.667724609375,723.0830078125,891.65576171875,1045.1318359375,1190.77978515625,1321.686767578125,1421.40234375,1481.739013671875,1513.7493896484375,1502.7210693359375,1462.9249267578125,1379.74755859375,1277.9447021484375,1144.7298583984375,1007.60302734375,866.2854614257812,721.0023803710938,565.9344482421875,630.0849609375,534.1356811523438,489.6405029296875,487.48175048828125,520.619384765625,485.6116943359375,434.315185546875,399.08477783203125,408.3172607421875,479.8761291503906,597.441650390625,687.6005249023438,776.4583740234375,870.34423828125,983.056396484375,983.5939331054688,984.9566040039062,964.8497314453125,941.0487060546875,699.8490600585938,653.7697143554688,639.9200439453125,677.8507080078125,700.6487426757812,713.206298828125,635.9661254882812,586.1627197265625,574.5465087890625,603.98681640625,630.748779296875,639.2720947265625,1221.535888671875,1134.5789794921875,1083.9244384765625,1091.0704345703125,1067.2196044921875,1092.268798828125,1152.370361328125,1205.2872314453125,1236.8221435546875,1250.220458984375,1259.5252685546875,1251.8363037109375,1209.5869140625,1150.48583984375,1145.27685546875,1130.9052734375,1153.910400390625,1151.194580078125,1165.5323486328125,1173.3175048828125
2,1087.62841796875,1135.083251953125,1188.3880615234375,1237.6112060546875,1304.03125,1404.8629150390625,1534.3017578125,1674.314453125,1799.71533203125,1900.529541015625,1986.719970703125,2054.07958984375,2097.195556640625,2114.76708984375,2127.685302734375,2136.805419921875,2130.392578125,1217.64208984375,1282.224609375,1385.3621826171875,1497.06591796875,1601.8345947265625,1759.429931640625,1836.0133056640625,1925.598388671875,2017.5203857421875,2077.938720703125,1703.939697265625,1724.910888671875,1746.5350341796875,1769.883056640625,1661.3170166015625,1714.867431640625,1764.7579345703125,1806.0885009765625,1843.8609619140625,1357.654052734375,1419.6796875,1489.648681640625,1555.8895263671875,1497.2666015625,1425.574951171875,1826.3011474609375,1882.3109130859375,1942.740478515625,1994.5911865234375,1951.7205810546875,1891.563232421875,1581.59619140625,1652.15380859375,1730.357666015625,1774.6341552734375,1815.499755859375,1873.170654296875,1920.74169921875,1882.301513671875,1837.115234375,1792.141357421875,1745.6865234375,1665.270263671875,1613.4241943359375,1734.749267578125,1779.592041015625,1823.300048828125,1887.78662109375,1825.80615234375,1782.932373046875,1737.27392578125,722.909423828125,892.5062255859375,1046.3682861328125,1192.4718017578125,1323.41455078125,1423.7960205078125,1486.27685546875,1519.6807861328125,1509.7857666015625,1469.2880859375,1385.0150146484375,1281.368896484375,1147.5406494140625,1009.51611328125,867.5900268554688,722.909423828125,567.8413696289062,633.216552734375,536.652587890625,491.5543518066406,489.1671142578125,522.7603759765625,486.94805908203125,435.40081787109375,401.2032165527344,410.8519592285156,483.24908447265625,598.2552490234375,688.0347290039062,776.4693603515625,870.4248046875,983.9495849609375,984.1829833984375,985.2572021484375,965.6317138671875,942.0949096679688,701.649658203125,655.5791625976562,641.134521484375,679.5703125,702.0274658203125,714.6884765625,637.5733642578125,587.5040283203125,576.269775390625,605.5894775390625,632.080810546875,640.544921875,1224.39990234375,1136.44384765625,1084.94921875,1092.084228515625,1068.250244140625,1093.6771240234375,1155.1512451171875,1212.4420166015625,1246.825439453125,1260.6448974609375,1269.88037109375,1260.660888671875,1212.804443359375,1151.201171875,1145.6558837890625,1131.505615234375,1156.7252197265625,1162.6767578125,1177.145751953125,1184.991455078125
3,1089.0872802734375,1136.049072265625,1189.72412109375,1238.599853515625,1304.0010986328125,1404.2164306640625,1534.0198974609375,1673.93212890625,1799.4365234375,1901.3125,1987.0008544921875,2054.9619140625,2097.13232421875,2114.21142578125,2126.277099609375,2135.474853515625,2129.143798828125,1219.112548828125,1284.4462890625,1387.415283203125,1498.037109375,1601.733154296875,1764.22900390625,1840.858154296875,1929.866943359375,2020.693603515625,2079.671630859375,1705.2191162109375,1725.98388671875,1747.5869140625,1770.790771484375,1662.436279296875,1715.97802734375,1765.59619140625,1806.674072265625,1843.9627685546875,1357.875,1420.210205078125,1490.454345703125,1556.57568359375,1498.2840576171875,1426.37548828125,1826.9326171875,1884.4158935546875,1944.6820068359375,1996.609375,1954.015869140625,1893.691162109375,1582.662841796875,1653.7965087890625,1731.2293701171875,1774.880615234375,1816.5263671875,1873.224853515625,1920.390625,1881.81201171875,1836.8604736328125,1791.3564453125,1745.4630126953125,1666.296630859375,1614.581787109375,1735.477783203125,1779.74462890625,1824.142333984375,1887.862060546875,1825.661376953125,1782.1405029296875,1737.3287353515625,723.1259765625,894.3790283203125,1050.374755859375,1197.818115234375,1331.119384765625,1430.5963134765625,1490.53662109375,1520.693603515625,1510.230712890625,1469.835693359375,1388.7547607421875,1285.925048828125,1151.525634765625,1011.835205078125,869.02294921875,722.826904296875,566.91455078125,630.0853881835938,534.093505859375,489.93365478515625,488.86309814453125,522.6832275390625,484.3722839355469,433.492431640625,399.320556640625,409.2031555175781,482.7074279785156,597.1644287109375,687.2122192382812,775.864013671875,869.9212036132812,985.8229370117188,985.688232421875,986.3179931640625,966.857421875,943.499755859375,701.8192749023438,655.3854370117188,641.1796264648438,679.576904296875,701.913818359375,714.7283325195312,637.7559204101562,587.288818359375,575.6585693359375,604.7162475585938,631.9287719726562,640.755859375,1226.9732666015625,1137.89794921875,1087.00537109375,1093.9276123046875,1070.408935546875,1095.79345703125,1157.349365234375,1208.567138671875,1239.675048828125,1253.4810791015625,1262.739013671875,1257.748046875,1214.5267333984375,1152.776123046875,1147.099365234375,1133.29736328125,1158.127197265625,1156.1427001953125,1170.2493896484375,1178.515380859375
4,1091.8349609375,1138.4075927734375,1191.861083984375,1240.57568359375,1305.476806640625,1405.4791259765625,1535.619140625,1675.787109375,1801.7315673828125,1904.4229736328125,1989.15576171875,2057.1376953125,2099.41015625,2116.552978515625,2128.1513671875,2136.671875,2129.704345703125,1221.120361328125,1285.65087890625,1388.6973876953125,1499.7025146484375,1603.1097412109375,1764.45947265625,1841.940185546875,1931.4921875,2022.44970703125,2081.06884765625,1706.3995361328125,1727.14697265625,1748.8260498046875,1772.074951171875,1663.96728515625,1717.5965576171875,1767.1595458984375,1807.84423828125,1844.181640625,1359.626220703125,1421.6787109375,1491.875,1557.4215087890625,1500.238037109375,1428.224365234375,1827.61279296875,1885.0791015625,1945.5048828125,1997.189697265625,1954.92333984375,1894.140380859375,1584.9666748046875,1655.8858642578125,1732.234130859375,1775.23291015625,1816.812255859375,1872.71533203125,1919.8006591796875,1880.955078125,1836.547119140625,1791.538818359375,1746.1356201171875,1668.11962890625,1617.21533203125,1736.46435546875,1780.196533203125,1824.3809814453125,1887.35986328125,1825.010986328125,1781.9736328125,1737.58740234375,722.3697509765625,892.6243896484375,1047.905029296875,1195.928466796875,1329.72998046875,1428.4208984375,1488.4432373046875,1518.8197021484375,1507.474609375,1466.2872314453125,1384.681396484375,1282.9609375,1149.892822265625,1009.9684448242188,867.4204711914062,720.8806762695312,566.7581787109375,633.251708984375,536.8173217773438,491.2722473144531,490.0523376464844,523.5836181640625,483.96282958984375,433.1978759765625,399.27642822265625,410.1408996582031,484.67950439453125,598.4239501953125,687.761962890625,775.5927124023438,868.677978515625,987.117919921875,986.5443115234375,986.7095336914062,967.5816650390625,944.4102172851562,703.7833251953125,657.2655029296875,642.9309692382812,680.4984130859375,703.0669555664062,716.3014526367188,638.8640747070312,588.3336181640625,576.7431030273438,605.856689453125,633.0303344726562,641.9879150390625,1229.067138671875,1139.755859375,1088.734375,1095.8212890625,1072.2796630859375,1098.1553955078125,1159.4952392578125,1207.2879638671875,1235.9398193359375,1249.1702880859375,1258.5255126953125,1256.29296875,1216.2379150390625,1155.262451171875,1149.392333984375,1136.02587890625,1160.3349609375,1151.903564453125,1165.7568359375,1174.025634765625
5,1092.6556396484375,1138.16015625,1190.7193603515625,1238.969482421875,1303.6710205078125,1404.16259765625,1536.2794189453125,1677.6546630859375,1804.56982421875,1908.230712890625,1992.635498046875,2060.87548828125,2103.6064453125,2121.2763671875,2131.705078125,2138.82421875,2130.21484375,1222.46923828125,1287.1903076171875,1390.128662109375,1501.151123046875,1604.314453125,1765.37646484375,1842.822998046875,1931.930908203125,2022.853271484375,2082.138916015625,1708.40478515625,1729.273681640625,1751.0565185546875,1774.427978515625,1665.542236328125,1719.600341796875,1769.575439453125,1810.159912109375,1846.61572265625,1360.88232421875,1422.681884765625,1492.55859375,1558.2396240234375,1501.482666015625,1429.199462890625,1829.0234375,1886.69580078125,1946.998046875,1998.2197265625,1956.2574462890625,1895.5657958984375,1583.544677734375,1657.2900390625,1733.905517578125,1777.17431640625,1819.63525390625,1876.553955078125,1926.275146484375,1884.675537109375,1838.733642578125,1792.741943359375,1746.54736328125,1668.6214599609375,1616.2117919921875,1738.108642578125,1782.332763671875,1827.4453125,1893.880126953125,1827.006103515625,1782.853515625,1737.9033203125,719.8760375976562,888.5587158203125,1043.587646484375,1191.5245361328125,1326.484619140625,1426.2529296875,1485.553466796875,1515.4034423828125,1503.8863525390625,1463.23388671875,1384.8857421875,1283.7020263671875,1151.04541015625,1010.2625122070312,866.4134521484375,718.7056884765625,563.5658569335938,634.4521484375,538.4559326171875,493.11065673828125,491.63702392578125,525.6820678710938,486.248046875,434.48834228515625,400.967041015625,411.14404296875,484.7764587402344,600.782470703125,689.58935546875,776.9425048828125,869.2735595703125,988.600341796875,987.9703369140625,987.8870239257812,969.2122192382812,946.525634765625,704.9639892578125,658.7438354492188,644.1315307617188,681.2421264648438,703.8526000976562,717.381591796875,639.6551513671875,589.5138549804688,578.277587890625,606.836181640625,634.0245971679688,643.0260009765625,1223.2421875,1139.2578125,1089.9599609375,1097.854248046875,1073.8819580078125,1099.2476806640625,1154.366943359375,1202.299560546875,1229.97607421875,1242.90576171875,1251.752197265625,1249.3927001953125,1211.514404296875,1157.3389892578125,1152.226806640625,1138.892333984375,1155.8951416015625,1145.9146728515625,1159.0654296875,1166.7537841796875
6,1095.1585693359375,1140.3173828125,1193.13818359375,1242.1158447265625,1307.249267578125,1406.473876953125,1535.8565673828125,1675.2568359375,1800.0869140625,1902.963623046875,1988.3468017578125,2056.301513671875,2099.244140625,2118.591552734375,2130.0361328125,2137.44189453125,2129.411376953125,1224.3306884765625,1288.2216796875,1391.2003173828125,1501.2132568359375,1603.35693359375,1767.1409912109375,1843.576416015625,1931.4432373046875,2021.085693359375,2079.045166015625,1708.2384033203125,1728.5196533203125,1749.8094482421875,1772.4852294921875,1665.908447265625,1719.001953125,1768.14599609375,1807.84130859375,1843.2060546875,1362.79833984375,1424.0384521484375,1493.138916015625,1558.734130859375,1501.6683349609375,1430.6063232421875,1828.517333984375,1885.599853515625,1945.2579345703125,1996.2781982421875,1953.989501953125,1893.76953125,1583.7218017578125,1652.4788818359375,1729.9033203125,1773.552490234375,1815.4368896484375,1871.92138671875,1917.28515625,1880.73779296875,1836.4134521484375,1790.5963134765625,1743.9671630859375,1665.114990234375,1615.2713623046875,1733.74755859375,1778.5233154296875,1822.931884765625,1885.40576171875,1825.43896484375,1781.375244140625,1736.0814208984375,723.646240234375,893.1129150390625,1049.0191650390625,1197.9613037109375,1334.47705078125,1437.418212890625,1501.5343017578125,1535.143310546875,1524.452880859375,1481.9029541015625,1400.33740234375,1294.5023193359375,1158.90234375,1015.8574829101562,871.4027099609375,723.177490234375,565.416259765625,634.1449584960938,538.7059326171875,493.976806640625,493.1336669921875,525.7737426757812,486.8836669921875,436.3426513671875,402.423828125,410.15704345703125,482.1925048828125,600.244384765625,689.18017578125,777.352294921875,870.7249145507812,989.816162109375,989.106689453125,988.9786376953125,971.147705078125,949.3878784179688,704.4833984375,659.5371704101562,644.7509155273438,680.9295043945312,703.889892578125,717.1723022460938,639.089599609375,590.1553344726562,579.2391967773438,606.2996826171875,633.8182983398438,642.6116333007812,1236.5810546875,1144.6331787109375,1092.20556640625,1099.7373046875,1076.218505859375,1104.108154296875,1168.0413818359375,1220.42431640625,1252.315673828125,1265.4024658203125,1273.853759765625,1268.15869140625,1222.3670654296875,1159.7880859375,1154.6328125,1141.7005615234375,1167.3289794921875,1167.9442138671875,1181.243408203125,1189.04638671875
7,1093.279296875,1138.6904296875,1191.952392578125,1241.990478515625,1308.4180908203125,1407.60498046875,1535.417236328125,1674.171875,1797.763916015625,1899.683349609375,1985.136962890625,2051.625,2094.36474609375,2113.8916015625,2127.214111328125,2135.41748046875,2128.605224609375,1223.1312255859375,1287.775390625,1391.61376953125,1501.9268798828125,1603.9959716796875,1765.0433349609375,1841.1373291015625,1928.34423828125,2017.55859375,2074.788330078125,1706.625,1727.0877685546875,1748.7490234375,1771.655029296875,1665.99951171875,1718.393798828125,1766.868896484375,1805.9515380859375,1840.446044921875,1361.755126953125,1423.25048828125,1492.443603515625,1557.85888671875,1500.820068359375,1429.8074951171875,1827.3353271484375,1884.147216796875,1943.9154052734375,1994.191162109375,1951.9063720703125,1891.78759765625,1588.407958984375,1652.98486328125,1728.9375,1771.863037109375,1812.6181640625,1867.2288818359375,1908.622802734375,1876.3585205078125,1834.828857421875,1790.046875,1744.4049072265625,1666.5101318359375,1619.3585205078125,1732.967529296875,1776.890625,1820.0673828125,1877.5006103515625,1824.036376953125,1780.9600830078125,1736.818359375,723.7029418945312,894.4511108398438,1051.171142578125,1201.3328857421875,1338.15478515625,1443.1895751953125,1509.609130859375,1546.79443359375,1536.3321533203125,1491.906005859375,1406.73193359375,1298.534912109375,1160.807373046875,1017.7717895507812,873.3704833984375,724.8092651367188,564.6365966796875,634.1134033203125,537.8929443359375,493.9465026855469,494.5946044921875,526.297607421875,489.22137451171875,438.87005615234375,402.7757873535156,408.282470703125,479.2515869140625,601.1581420898438,689.80859375,777.6005859375,870.7213134765625,990.2630615234375,989.3878173828125,988.7291870117188,971.5064697265625,950.2714233398438,705.7105712890625,660.7298583984375,645.4336547851562,681.10986328125,705.0032958984375,718.959228515625,638.6849975585938,590.383056640625,579.75732421875,606.4930419921875,634.3759765625,642.5614013671875,1250.41552734375,1151.185791015625,1094.580322265625,1102.445556640625,1078.4766845703125,1109.513916015625,1182.416748046875,1235.513916015625,1268.1456298828125,1281.6097412109375,1290.81201171875,1284.0523681640625,1234.1029052734375,1164.014892578125,1158.07666015625,1145.5670166015625,1179.65087890625,1182.653564453125,1196.73095703125,1204.5899658203125
8,1097.686279296875,1143.21533203125,1196.4515380859375,1245.5927734375,1311.222900390625,1410.2177734375,1538.459716796875,1677.15380859375,1801.483642578125,1903.564208984375,1988.270751953125,2054.814453125,2097.830078125,2117.668212890625,2131.1884765625,2139.881103515625,2133.7080078125,1225.603759765625,1289.942138671875,1393.948974609375,1505.5384521484375,1608.486328125,1766.821533203125,1843.5181884765625,1931.264404296875,2020.6407470703125,2078.556396484375,1709.28076171875,1729.9337158203125,1751.821533203125,1775.02294921875,1669.5301513671875,1721.963134765625,1770.14111328125,1809.45263671875,1844.5845947265625,1365.3302001953125,1426.3963623046875,1494.887451171875,1559.9864501953125,1503.380126953125,1433.211669921875,1830.625244140625,1887.486083984375,1946.875,1996.742919921875,1954.6162109375,1894.879638671875,1594.4869384765625,1658.249755859375,1733.076171875,1775.07861328125,1814.906494140625,1868.220703125,1909.1419677734375,1876.34228515625,1835.621337890625,1791.98828125,1747.8021240234375,1670.9832763671875,1626.113037109375,1737.33349609375,1780.2021484375,1822.455078125,1877.720703125,1824.56640625,1782.62109375,1739.688232421875,729.0782470703125,898.3112182617188,1054.8084716796875,1203.5716552734375,1338.7896728515625,1441.2080078125,1504.3916015625,1537.3291015625,1526.1351318359375,1483.695068359375,1400.928955078125,1294.783935546875,1158.5084228515625,1017.2374267578125,873.5926513671875,726.1959228515625,567.3175048828125,636.2538452148438,538.8277587890625,493.70916748046875,494.877685546875,527.1634521484375,489.253173828125,438.98724365234375,402.90264892578125,409.826171875,480.88836669921875,601.791259765625,689.8204345703125,776.7259521484375,869.0786743164062,991.3187866210938,989.6234130859375,988.2318115234375,971.2463989257812,949.8338623046875,705.0220947265625,660.4834594726562,644.9214477539062,680.421630859375,703.94580078125,717.703369140625,638.1871948242188,590.0902709960938,580.3488159179688,607.0811157226562,634.1580200195312,641.9315795898438,1248.5543212890625,1148.82958984375,1093.293701171875,1101.327880859375,1077.550048828125,1108.1864013671875,1181.79052734375,1227.63427734375,1255.918701171875,1268.472900390625,1277.61962890625,1273.773193359375,1232.235107421875,1163.5079345703125,1157.5706787109375,1145.6458740234375,1178.633544921875,1169.8427734375,1183.16162109375,1191.06298828125
9,1097.15673828125,1142.6854248046875,1197.2752685546875,1248.0185546875,1315.2330322265625,1414.2802734375,1540.677978515625,1676.762939453125,1798.869384765625,1901.0645751953125,1985.1795654296875,2051.203125,2093.384521484375,2112.753173828125,2125.60107421875,2134.765625,2129.697021484375,1225.30810546875,1290.3299560546875,1395.6116943359375,1507.7662353515625,1611.538330078125,1767.7845458984375,1844.909423828125,1932.866455078125,2021.894775390625,2079.150634765625,1709.0748291015625,1729.314453125,1751.0006103515625,1773.777587890625,1669.097900390625,1721.10595703125,1769.124755859375,1807.93115234375,1842.356201171875,1366.1552734375,1427.514892578125,1495.81005859375,1559.644775390625,1504.0164794921875,1433.84912109375,1831.8427734375,1888.3013916015625,1947.525390625,1997.068115234375,1955.771240234375,1896.16796875,1592.4891357421875,1655.4718017578125,1730.642822265625,1773.273193359375,1812.4522705078125,1866.1251220703125,1905.31396484375,1874.781982421875,1833.774169921875,1789.9815673828125,1744.945556640625,1667.8021240234375,1624.0106201171875,1734.5087890625,1777.973876953125,1819.60546875,1874.639404296875,1822.7578125,1781.039306640625,1737.4178466796875,728.870849609375,900.3824462890625,1057.2943115234375,1206.009033203125,1342.092529296875,1445.677734375,1510.4381103515625,1545.216064453125,1534.443603515625,1490.506591796875,1404.64599609375,1296.712646484375,1159.404541015625,1017.802001953125,875.1142578125,728.80126953125,569.7222900390625,640.7276611328125,541.1881103515625,495.16497802734375,495.14862060546875,526.2215576171875,488.93402099609375,439.13824462890625,403.53125,410.3166198730469,481.4656066894531,600.197021484375,688.8579711914062,777.1861572265625,870.5230102539062,989.7974853515625,987.658447265625,986.684814453125,970.17529296875,949.7316284179688,704.0455932617188,659.94482421875,644.581298828125,679.6503295898438,703.13720703125,716.2470703125,637.404296875,589.5670166015625,578.6797485351562,605.750244140625,632.9190673828125,640.9013671875,1250.39697265625,1149.071533203125,1092.32666015625,1100.515869140625,1077.47314453125,1109.31103515625,1185.8236083984375,1237.5928955078125,1268.693359375,1281.8037109375,1290.6683349609375,1283.6036376953125,1234.307373046875,1160.8134765625,1155.1552734375,1144.010986328125,1182.56787109375,1183.28466796875,1196.6427001953125,1204.3228759765625
